,,行政部2026年预算,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,一级部门,行政部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,二级部门,行政部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,全年合计,一季度,1月,2月,3月,二季度,4月,5月,6月,三季度,7月,8月,9月,四季度,10月,11月,12月,,,,,,,,,,,,
,,预估人数（正式+外包）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,珠海横琴,保洁,15622.56,3905.64,"1,301.88 ","1,301.88 ","1,301.88 ",3905.64,"1,301.88 ","1,301.88 ","1,301.88 ",3905.64,"1,301.88 ","1,301.88 ","1,301.88 ",3905.64,"1,301.88 ","1,301.88 ","1,301.88 ",,,,,,,,,,,,
,,珠海横琴,绿植,6000,1500,500.00 ,500.00 ,500.00 ,1500,500.00 ,500.00 ,500.00 ,1500,500.00 ,500.00 ,500.00 ,1500,500.00 ,500.00 ,500.00 ,,,,,,,,,,,,
,,珠海横琴,日常耗材,6000,1500,500.00 ,500.00 ,500.00 ,1500,500.00 ,500.00 ,500.00 ,1500,500.00 ,500.00 ,500.00 ,1500,500.00 ,500.00 ,500.00 ,,,,,,,,,,,,
,北美-容纳6人,硅谷,房租,300000,75000,"25,000.00 ","25,000.00 ","25,000.00 ",75000,"25,000.00 ","25,000.00 ","25,000.00 ",75000,"25,000.00 ","25,000.00 ","25,000.00 ",75000,"25,000.00 ","25,000.00 ","25,000.00 ",,,,,,,,,,,,
,,硅谷,物业管理费,18000,4500,"1,500.00 ","1,500.00 ","1,500.00 ",4500,"1,500.00 ","1,500.00 ","1,500.00 ",4500,"1,500.00 ","1,500.00 ","1,500.00 ",4500,"1,500.00 ","1,500.00 ","1,500.00 ",,,,,,,,,,,,
,新加坡-容纳6人,新加坡,房租,1320000,330000,"110,000.00 ","110,000.00 ","110,000.00 ",330000,"110,000.00 ","110,000.00 ","110,000.00 ",330000,"110,000.00 ","110,000.00 ","110,000.00 ",330000,"110,000.00 ","110,000.00 ","110,000.00 ",,,,,,,,,,,,
,,新加坡,能源费,13440,3360,"1,120.00 ","1,120.00 ","1,120.00 ",3360,"1,120.00 ","1,120.00 ","1,120.00 ",3360,"1,120.00 ","1,120.00 ","1,120.00 ",3360,"1,120.00 ","1,120.00 ","1,120.00 ",,,,,,,,,,,,
,,新加坡,保洁,38400,9300,"3,100.00 ","3,100.00 ","3,100.00 ",9300,"3,100.00 ","3,100.00 ","3,100.00 ",9300,"3,100.00 ","3,100.00 ","3,100.00 ",10500,"3,500.00 ","3,500.00 ","3,500.00 ",,,,,,,,,,,,
,马来西亚-容纳12人,吉隆坡,房租,180000,45000,"15,000.00 ","15,000.00 ","15,000.00 ",45000,"15,000.00 ","15,000.00 ","15,000.00 ",45000,"15,000.00 ","15,000.00 ","15,000.00 ",45000,"15,000.00 ","15,000.00 ","15,000.00 ",,,,,,,,,,,,
,,吉隆坡,保洁,12000,3000,"1,000.00 ","1,000.00 ","1,000.00 ",3000,"1,000.00 ","1,000.00 ","1,000.00 ",3000,"1,000.00 ","1,000.00 ","1,000.00 ",3000,"1,000.00 ","1,000.00 ","1,000.00 ",,,,,,,,,,,,
